Date,Total
201909,3398
201910,3639
201911,3362
201912,3161
202001,2976
202002,3042
202003,2448
202004,1845
202005,2231
202006,2540
202007,2991
202008,3160
202009,3001
202010,2993
202011,2621
202012,2398
202101,2000
202102,2233
202103,2580
202104,2639
202105,2658
202106,2755
202107,2900
202108,2640
